generation,N_shifts,logPrior,logLik,eventRate,acceptRate
11800000,1,-14.9582,-98.9116,0.430603,0.484
11900000,1,-14.7214,-99.9765,0.546533,0.5075
12000000,3,-34.2905,-94.8288,1.21221,0.559
12100000,1,-18.1484,-100.71,4.02917,0.502
12200000,1,-15.4728,-99.2768,1.12963,0.465
12300000,1,-14.9804,-103.731,0.929507,0.486
12400000,2,-22.9655,-97.1669,0.393496,0.516
12500000,1,-15.4265,-105.852,0.360649,0.505
12600000,3,-33.723,-97.5928,2.45907,0.54936
12700000,3,-31.9069,-97.6485,1.16627,0.565
12800000,2,-26.4582,-96.6547,2.40631,0.533
12900000,4,-42.0653,-79.8115,2.51134,0.5438
13000000,2,-24.6014,-89.9188,1.46124,0.530933
13100000,2,-25.809,-100.323,3.71033,0.5226
13200000,3,-34.1051,-94.6554,1.09548,0.540667
13300000,4,-40.4413,-81.5137,2.41918,0.498
13400000,2,-23.1474,-102.159,1.01664,0.552
13500000,4,-48.1836,-89.2794,3.32288,0.5326
13600000,4,-39.9817,-100.382,0.644732,0.542
13700000,3,-38.7342,-96.2093,2.19435,0.524
13800000,2,-23.4047,-100.678,0.480588,0.561
13900000,2,-24.4861,-102.882,1.09467,0.527
14000000,4,-40.6559,-84.2414,4.16913,0.496692
14100000,2,-23.7517,-96.4882,1.12381,0.558
14200000,1,-16.3995,-98.8135,2.0167,0.496
14300000,4,-41.0273,-98.5397,2.17146,0.583
14400000,3,-33.4234,-98.2814,2.20954,0.525286
14500000,5,-52.392,-101.398,3.77771,0.5605
14600000,1,-14.6995,-103.18,0.809224,0.530714
14700000,2,-22.9156,-92.7621,0.607098,0.519
14800000,2,-24.1779,-100.889,1.60705,0.559
14900000,7,-70.0526,-90.3494,5.19492,0.551
15000000,2,-23.1364,-95.7005,0.568146,0.555
15100000,2,-22.4012,-96.2689,0.406627,0.491
15200000,2,-25.9392,-98.4804,3.39939,0.482
15300000,3,-30.4997,-96.0447,1.11572,0.551
15400000,3,-31.7666,-97.0054,0.728093,0.535
15500000,2,-22.0596,-102.552,0.449542,0.509
15600000,3,-34.3704,-96.3978,1.95864,0.564
15700000,5,-53.3528,-87.4884,1.90075,0.48575
15800000,3,-29.7989,-99.5994,0.908669,0.571
15900000,3,-37.8067,-96.8147,6.32331,0.486
16000000,5,-51.2712,-92.4556,3.94863,0.495
16100000,1,-17.2157,-99.006,0.350565,0.515
16200000,4,-42.9194,-89.2037,1.6705,0.538
16300000,4,-40.8129,-85.859,3.18438,0.561
16400000,2,-24.8878,-97.4494,2.85802,0.519
16500000,1,-15.7802,-100.951,0.572996,0.533
16600000,3,-31.7687,-101.493,0.728281,0.5386
16700000,1,-14.6613,-100.229,0.434874,0.488
16800000,1,-17.9237,-101.308,1.64717,0.477
16900000,6,-57.5363,-102.615,3.83563,0.54075
17000000,1,-15.7108,-103.155,0.51758,0.53
17100000,5,-49.1111,-94.5163,1.95415,0.57
17200000,2,-24.8864,-95.3143,1.51507,0.517
17300000,1,-17.4783,-98.373,1.89366,0.4975
17400000,1,-14.6235,-99.2773,0.415383,0.492
17500000,2,-22.4447,-96.844,0.809728,0.428
17600000,3,-30.1662,-95.3846,0.470387,0.5236
17700000,4,-40.9832,-86.0792,2.84015,0.532706
17800000,1,-14.5224,-103.014,0.530599,0.496
17900000,1,-15.7104,-102.39,0.319795,0.575
18000000,5,-51.2054,-99.8153,3.6177,0.5426
18100000,2,-27.9272,-89.3246,2.24469,0.495
18200000,5,-49.0566,-94.4484,2.66787,0.565
18300000,1,-15.5866,-100.3,0.33849,0.509
18400000,4,-40.2935,-86.2689,1.42983,0.516
18500000,1,-15.5139,-101.906,0.751275,0.483667
18600000,5,-52.4355,-100.178,3.27448,0.601
18700000,5,-52.6931,-87.1323,2.04926,0.548
18800000,1,-17.3415,-100.779,1.19921,0.5485
18900000,1,-17.2789,-99.2602,1.92169,0.4899
19000000,1,-15.5315,-101.364,1.25322,0.471
19100000,6,-60.5362,-96.6373,2.60683,0.576
19200000,4,-40.8487,-88.7635,1.60397,0.5415
19300000,2,-23.2604,-103.078,1.04168,0.511667
19400000,2,-24.8749,-100.011,0.291579,0.601
19500000,4,-40.9268,-98.9064,2.02849,0.5394
19600000,1,-14.9088,-100.446,0.932455,0.47
19700000,1,-14.3083,-101.192,0.314173,0.438
19800000,4,-41.1323,-83.2785,3.1315,0.527944
19900000,4,-40.8172,-93.7588,1.49003,0.598
20000000,5,-54.0906,-93.3088,1.78259,0.514
20100000,5,-49.477,-90.6277,2.71083,0.558
20200000,1,-15.0958,-101.754,0.191903,0.5085
20300000,1,-17.6068,-103.694,1.28983,0.530813
