generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
6900000,Papilionidae,Depressariidae,1.96833,11.2012,-0.327858,0.996803,0
6900000,Meessiidae,Psychidae,1.28323,3.88996,0.24022,0.330462,0
7000000,Hydroptilidae,Micropterigidae,0,2.8513,-0.0642052,0.0426378,0
7000000,Agathiphagidae,NA,1.56412,13.8778,-0.367886,11.3715,0
7000000,Heterobathmiidae,NA,2.69244,1.74716,-0.351544,20.799,0
7000000,Tortricidae,NA,2.85017,6.8212,-0.195123,6.25076,0
7000000,Lyonetiidae,NA,2.89652,8.23814,-0.320614,5.59465,0
7000000,Notodontidae,NA,3.0017,0.851302,0.0385315,11.4178,0
7000000,Psychidae,Dryadaulidae,1.59005,8.75472,-0.191854,0.610824,0
7100000,Hydroptilidae,Micropterigidae,0,2.46291,0.0950217,0.277471,0
7100000,Roeslerstammiidae,Urodidae,1.79298,9.48349,-0.132868,0.636922,0
7200000,Hydroptilidae,Micropterigidae,0,2.9401,0.000112123,0.430312,0
7200000,Psychidae,Dryadaulidae,1.5623,6.89603,0.0170971,0.179031,0
7300000,Hydroptilidae,Micropterigidae,0,2.69008,0.0805222,0.517769,0
7300000,Agathiphagidae,NA,2.99571,6.27772,-0.133977,84.6236,0
7300000,Urodidae,Immidae,1.87962,11.3288,-0.534563,0.200218,0
7300000,Meessiidae,Psychidae,1.52858,8.75102,-0.266435,1.95109,0
7400000,Hydroptilidae,Micropterigidae,0,2.3906,0.0753181,0.130244,0
7400000,Dryadaulidae,NA,2.60292,3.5277,0.447996,11.3335,0
7400000,Psychidae,Dryadaulidae,1.62573,9.01965,-0.26038,0.106477,0
7500000,Hydroptilidae,Micropterigidae,0,2.73666,0.0712731,0.00823701,0
7500000,Stenopsychidae,NA,2.23264,5.49716,0.138879,4.30182,0
7500000,Agathiphagidae,NA,2.67037,3.77306,0.107808,22.2121,0
7500000,Lophocoronidae,NA,2.42826,2.67139,0.109637,5.63808,0
7500000,Andesianidae,NA,2.78925,25.0788,-0.245731,27.3738,0
7500000,Roeslerstammiidae,Urodidae,1.7837,10.5722,-0.348314,0.125405,0
7600000,Hydroptilidae,Micropterigidae,0,1.58685,0.564228,0.205342,0
7600000,Roeslerstammiidae,Urodidae,1.72372,6.55705,0.160917,0.142036,0
7700000,Hydroptilidae,Micropterigidae,0,5.59223,-0.101135,2.46627,0
7700000,Andesianidae,NA,2.51603,9.03524,-0.425409,7.82777,0
7700000,Crambidae,NA,2.33844,26.9586,0.246915,16.3536,0
7700000,Roeslerstammiidae,Urodidae,1.73944,11.0185,-0.342357,0.692849,0
7800000,Hydroptilidae,Micropterigidae,0,4.88248,-0.426148,1.50176,0
7800000,Hydroptilidae,Hydropsychidae,0.390091,8.43797,-0.0983984,4.25297,0
7800000,Notodontidae,Erebidae,2.20063,29.4666,-0.410262,14.5064,0
7800000,Immidae,Sesiidae,1.90778,10.126,-0.296759,0.522291,0
7800000,Opostegidae,Andesianidae,0.911087,2.73441,0.449316,0.148022,0
7900000,Hydroptilidae,Micropterigidae,0,2.50817,0.227034,0.371829,0
7900000,Roeslerstammiidae,Urodidae,1.73561,8.86796,-0.21446,0.0261212,0
8000000,Hydroptilidae,Micropterigidae,0,2.33651,0.0967582,0.112179,0
8000000,Saturniidae,Sphingidae,2.36392,16.335,-0.116725,6.23051,0
8000000,Psychidae,Dryadaulidae,1.59735,10.542,-0.318008,0.525115,0
8100000,Hydroptilidae,Micropterigidae,0,3.37338,-0.033233,0.70566,0
8100000,Dryadaulidae,Roeslerstammiidae,1.64714,5.98302,0.232252,0.205753,0
8200000,Hydroptilidae,Micropterigidae,0,3.31878,0.0454437,1.00285,0
8200000,Dryadaulidae,Roeslerstammiidae,1.67165,9.08278,-0.317141,0.0126105,0
8300000,Hydroptilidae,Micropterigidae,0,4.75219,-0.910307,0.195165,0
8300000,Hydroptilidae,Hydropsychidae,0.118468,4.74965,0.886523,5.83145,0
8300000,Immidae,Sesiidae,1.90461,13.7434,-0.691579,0.600729,0
8300000,Meessiidae,Psychidae,1.29186,7.2026,-0.258638,0.349217,0
8300000,Lophocoronidae,Opostegidae,0.674934,5.54946,-0.382052,1.27532,0
8400000,Hydroptilidae,Micropterigidae,0,2.58281,0.310974,1.27642,0
8400000,Agathiphagidae,NA,2.89977,23.8801,0.217451,33.1464,0
8400000,Roeslerstammiidae,NA,3.03067,3.1872,-0.118953,31.0628,0
8400000,Dryadaulidae,NA,2.27997,5.77844,0.305049,5.34951,0
8400000,Nolidae,NA,2.76806,10.0882,0.571132,6.32773,0
8400000,Dryadaulidae,Roeslerstammiidae,1.6423,10.4397,-0.347934,0.208733,0
8500000,Hydroptilidae,Micropterigidae,0,2.94508,-0.0250776,0.842454,0
8500000,Hydroptilidae,Hydropsychidae,0.514686,13.6208,0.0110263,12.3202,0
8500000,Dryadaulidae,NA,2.42295,2.18932,-0.590413,7.62157,0
8500000,Callidulidae,NA,2.8795,12.3618,0.923316,19.4041,0
8500000,Psychidae,Dryadaulidae,1.5632,7.67517,-0.0775219,0.133885,0
8600000,Hydroptilidae,Micropterigidae,0,2.19577,0.198201,0.193273,0
8600000,Agathiphagidae,NA,2.92518,15.6532,0.563778,45.1663,0
8600000,Dryadaulidae,Roeslerstammiidae,1.69062,5.69962,0.232447,0.118986,0
8700000,Hydroptilidae,Micropterigidae,0,3.16641,0.043132,0.996144,0
8700000,Roeslerstammiidae,Urodidae,1.71744,11.3888,-0.461424,0.628095,0
8800000,Hydroptilidae,Micropterigidae,0,1.81874,0.368554,0.0847693,0
8800000,Agathiphagidae,NA,2.779,5.82587,0.982937,23.7012,0
8800000,Epicopeiidae,NA,2.85668,1.91453,0.769283,1.31507,0
8800000,Meessiidae,NA,3.03841,20.8192,-0.0432735,2.35969,0
8800000,Urodidae,NA,3.06491,0.728725,-0.171467,156.104,0
8800000,Psychidae,Dryadaulidae,1.60491,8.3889,-0.114241,0.0856706,0
8900000,Hydroptilidae,Micropterigidae,0,2.88176,0.170944,1.43536,0
8900000,Lophocoronidae,NA,1.39045,7.69181,-0.333001,5.44963,0
8900000,Notodontidae,Erebidae,2.24076,15.4295,-0.254622,4.93715,0
8900000,Roeslerstammiidae,Urodidae,1.71419,11.8308,-0.58633,0.152621,0
9000000,Hydroptilidae,Micropterigidae,0,3.37802,-0.0968388,0.0493409,0
9000000,Psychidae,Dryadaulidae,1.59052,9.7196,-0.29576,0.531351,0
9100000,Hydroptilidae,Micropterigidae,0,3.72736,-0.186776,0.393733,0
9100000,Psychidae,Dryadaulidae,1.60339,9.25269,-0.210987,0.525622,0
9200000,Hydroptilidae,Micropterigidae,0,2.14294,0.386784,0.526481,0
9200000,Doidae,NA,2.85669,7.53524,0.0388853,18.6337,0
9200000,Roeslerstammiidae,Urodidae,1.73066,9.08748,-0.207424,0.0545012,0
9300000,Hydroptilidae,Micropterigidae,0,4.33074,0.0449483,2.02486,0
9300000,Acanthopteroctetidae,NA,2.37237,13.8463,0.439873,31.1844,0
9300000,Roeslerstammiidae,Urodidae,1.72994,8.6447,-0.209429,0.0737193,0
9400000,Hydroptilidae,Micropterigidae,0,3.07105,-0.0501969,0.12535,0
9400000,Roeslerstammiidae,Urodidae,1.79765,9.9315,-0.330442,0.224479,0
9500000,Hydroptilidae,Micropterigidae,0,2.02355,0.261885,0.0151864,0
9500000,Roeslerstammiidae,Urodidae,1.77367,10.4629,-0.353516,0.240803,0
9600000,Hydroptilidae,Micropterigidae,0,2.23425,0.196806,0.150172,0
9600000,Notodontidae,NA,2.70136,22.9252,-0.247,8.69895,0
9600000,Meessiidae,Psychidae,1.28506,7.81906,-0.0616653,0.0506482,0
9700000,Hydroptilidae,Micropterigidae,0,2.84876,0.0352086,0.558273,0
9700000,Roeslerstammiidae,Urodidae,1.71267,10.2557,-0.369479,0.275278,0
9800000,Hydroptilidae,Micropterigidae,0,2.00654,0.191523,0.40293,0
9800000,Psychidae,Dryadaulidae,1.53721,6.87409,0.152925,0.340295,0
9900000,Hydroptilidae,Micropterigidae,0,9.58082,-0.232466,2.5315,0
9900000,Roeslerstammiidae,Urodidae,1.76127,8.86704,-0.149585,0.69286,0
9900000,Opostegidae,Andesianidae,0.829097,9.26326,-0.387041,2.71685,0
9900000,Micropterigidae,Agathiphagidae,0.0530591,10.0478,-0.335315,4.77058,0
10000000,Hydroptilidae,Micropterigidae,0,4.37214,-0.0073405,0.155835,0
10000000,Agathiphagidae,NA,1.98836,12.9748,0.118135,19.0395,0
10000000,Dryadaulidae,NA,2.90488,2.09843,0.0380287,28.1787,0
10000000,Urodidae,NA,2.51034,11.0878,-0.672638,10.2899,0
10000000,Meessiidae,Psychidae,1.51009,6.79296,0.107253,0.395482,0
10000000,Micropterigidae,Agathiphagidae,0.0240847,8.05647,-0.503701,0.786752,0
10100000,Hydroptilidae,Micropterigidae,0,2.40706,0.0703289,0.0529902,0
10100000,Lycaenidae,NA,2.9144,41.5851,0.302749,9.28953,0
