img_file	aspect_ratio	nd2ndMoA_root_on_left	nd2ndMoA_root_on_right
Adelidae.png	6.640550555849656	0.5217796979944842	0.5707533562199689
Alucitidae.png	6.025974025974026	0.5210949459483574	0.5764466707329517
Ashinagidae.png	7.721179624664879	0.5281448287008098	0.580277647123313
Autostichidae.png	7.7913669064748206	0.5454454343022198	0.5712277342550163
Batrachedridae.png	11.398001665278935	0.5347044053784844	0.5813182043709729
Bombycidae.png	5.449385052034058	0.5264911272514757	0.5677225493968522
Brahmaeidae.png	5.731796927187709	0.5334433162031239	0.565566241653113
Bucculatricidae.png	9.048875096974399	0.5165991444891144	0.5916729792712135
Carposinidae.png	7.6581196581196584	0.5335464151116615	0.5748057501584363
Choreutidae.png	5.980066445182724	0.5210614672017461	0.5793617269139999
Coleophoridae.png	9.122909090909092	0.5320783539743832	0.5751083325390479
Cosmopterigidae.png	9.631941629509527	0.53929154828	0.5742028492805968
Cossidae.png	6.686046511627907	0.5352029403056826	0.5682091420853563
Crambidae.png	6.105678579258934	0.5118466756091322	0.5965970552991328
Depressariidae.png	6.229086229086229	0.5190498478023605	0.5942751371355561
Drepanidae.png	5.260869565217392	0.5381542651142882	0.5539541901927452
Elachistidae.png	7.353296861503023	0.5496011596093994	0.5669501037635867
Endromidae.png	5.901794145420208	0.538638187711907	0.55606696562101
Erebidae.png	5.5510948905109485	0.5250741514600067	0.5781264671455792
Eriocraniidae.png	8.387830157138081	0.5160302794317289	0.5904347797540487
Ethmiidae.png	7.146751740139211	0.5502469018061207	0.5692405840397738
Eupterotidae.png	5.300241296104791	0.5506535783410936	0.5432703506537532
Euteliidae.png	6.05559119093436	0.5423148829180297	0.5600065158580515
Gelechiidae.png	7.926132836747362	0.5443184243372826	0.5752147949468318
Geometridae.png	5.342793639938451	0.5470099766140484	0.5471563016768561
Glyphipterigidae.png	7.258245177349098	0.5332314252505435	0.5766265587231221
Gracillariidae.png	8.791866028708133	0.5567290495464456	0.5588598368882159
Hepialidae.png	5.376582981559653	0.5442647071218863	0.57233195395139
Hesperiidae.png	5.530001857700167	0.5356865646923848	0.5655085441974133
Hyblaeidae.png	6.111160714285714	0.512927879735303	0.5832605662906443
Lacturidae.png	6.2601156069364166	0.5498754970063364	0.5609941724932603
Lasiocampidae.png	5.265267536396294	0.5306811337019106	0.5689490145778752
Lecithoceridae.png	7.74896551724138	0.5256505876369589	0.5863543249687809
Limacodidae.png	4.887758808572467	0.5543792632925125	0.550986633093845
Lycaenidae.png	4.692617866004963	0.5395296123395029	0.5546037766947532
Megalopygidae.png	5.4756	0.5494377019254985	0.5533137015335606
Metarbelidae.png	5.822287267405394	0.5461023747582835	0.5590657201633698
Mimallonidae.png	5.527590313616514	0.5510577744355818	0.5466880831180009
Momphidae.png	8.365019011406844	0.5374060006148496	0.5787261109730315
Nepticulidae.png	10.691109074243814	0.5241755432470174	0.5879422965494989
Noctuidae.png	5.787575150300601	0.5302485621897717	0.5739820960442519
Nolidae.png	5.36630109670987	0.5311510816096923	0.5743642137771731
Notodontidae.png	5.8170222124477675	0.5430979784661214	0.5598529443755946
Nymphalidae.png	5.0865567070500655	0.5139846355096236	0.5751528137350261
Oecophoridae.png	6.803423522915517	0.5330607721547569	0.584010439733672
Papilionidae.png	5.623249893932965	0.5438774420003609	0.5523065166278723
Pieridae.png	5.012119328775637	0.5282001918798269	0.564908166927702
Plutellidae.png	8.217317487266554	0.5256139717374683	0.5836517065585832
Prodoxidae.png	7.404465062336909	0.5256885616099001	0.5898320671035396
Psychidae.png	4.988322520852641	0.535738588515132	0.5635943786474646
Pterophoridae.png	9.619343696027634	0.5099999319489258	0.6082026625599117
Pyralidae.png	7.265327419775633	0.5207122320417468	0.5912721661777548
Riodinidae.png	4.9860674157303375	0.534636938366368	0.5586659297086816
Roeslerstammiidae.png	7.9920260964117436	0.5488554229779156	0.5680910721382909
Saturniidae.png	5.6905259771594014	0.5422437304626977	0.5529426653580951
Scythrididae.png	8.656466302367942	0.5302866262193401	0.5817334965013666
Sematuridae.png	5.310417292104473	0.5429000261387815	0.5554701470000974
Sesiidae.png	11.575559192580469	0.5052909999843199	0.6136508569544797
Sphingidae.png	7.480203619909502	0.5340732352712894	0.5691243283243055
Stathmopodidae.png	10.6111645813282	0.5299720821287632	0.5821464198604864
Thyrididae.png	5.782439782439782	0.5291751233925526	0.5706007237010796
Tineidae.png	7.667256637168141	0.5207950417234408	0.5955663799881408
Tortricidae.png	5.990320350311132	0.5232540949314114	0.5835230371734068
Uraniidae.png	5.547349417364188	0.5220291919794415	0.576376861874305
Xyloryctidae.png	7.440217391304348	0.535309021832254	0.5835978698257941
Yponomeutidae.png	7.189542483660131	0.5289671810563199	0.58850935214615
Ypsolophidae.png	7.917414721723519	0.5112160024031178	0.599481748901097
Zygaenidae.png	6.247047709022201	0.5264816495354027	0.5770645323003969
