pc1	pc2	pc3	color_saturation	color_brightness	color_richness	color_evenness	rgb_red	rgb_green	rgb_blue	distinctive_from_wing_base	perimeter_over_area	proxy_area	box_aspect_ratio
0	0	0	68.15460955863149	137.75868372943327	12	0.7371082379146298	159.3306346304518	131.05588926612694	115.64377121963959	0.11815505207515437	0.07243167265057082	3829	1.7894736842105263
3	0	0	123.00227830354014	113.02996845425868	19	0.5279464180550191	140.6445846477392	106.68594461969856	73.267087276551	0.14078338480473263	0.0580216837755959	5706	1.2976190476190477
3	3	0	157.12940041793925	120.75759524192252	27	0.5938864630794956	167.04147243208487	108.20061083427102	64.01189519369876	0.18182071988999537	0.05469671158055363	6221	1.1758241758241759
0	-3	0	82.82631812140009	119.52148870181657	14	0.6351944777010627	135.13646433318564	116.95613646433318	91.80638015064244	0.13214524994363452	0.1162836948845134	2257	3.272727272727273
3	-3	0	132.04261363636363	107.97107438016529	21	0.6284395134829983	131.68904958677686	104.00232438016529	66.19989669421487	0.11773591864024778	0.07569318502338085	3872	1.7833333333333334
-3	3	0	44.2046403712297	190.1016241299304	16	0.7495809864979358	200.8737819025522	189.3122969837587	166.01299303944316	0.21183685723098467	0.12060159806402695	2155	2.525
-3	0	0	65.07462686567165	139.81236673773986	8	0.7679708134342977	155.8727789623312	136.22103766879886	116.16915422885572	0.09627962984549482	0.16328853998578527	1407	5.105263157894737
0	3	0	110.11878354203935	131.2066189624329	16	0.8103042763730135	163.38998211091234	122.57817531305903	91.22128801431127	0.22841060936794008	0.058123719214606136	5590	1.4230769230769231
-3	-3	0	63.658479532163746	122.88245614035088	13	0.8178236572344524	133.60994152046783	121.61929824561403	101.3233918128655	0.16801822265620728	0.14742971510347386	1710	5.095238095238095
0	0	0	68.13748378728924	137.7870298313878	12	0.7355218975897666	159.37795071335927	131.07133592736704	115.69001297016861	0.1194178712866654	0.07264883514070364	3855	1.8070175438596492
0	3	0	110.4963768115942	131.14673913043478	16	0.8068818467299513	163.42264492753623	122.50652173913043	90.9929347826087	0.22811576086076313	0.05776754094144207	5520	1.48
0	3	3	36.23528268894502	120.0979211190985	12	0.6882317876737897	124.23450553720613	120.24052846318244	108.48999417136196	0.14775740789853312	0.06149390155035382	5147	1.3670886075949367
0	0	-3	101.31182548794489	159.5106773823192	16	0.6983286741929327	187.78874856486797	154.04179104477612	113.38071182548795	0.17079309122390304	0.06792928390196093	4355	1.8275862068965518
0	3	-3	124.84543244182008	147.3654046543939	25	0.7220899127582454	182.8959708232025	139.79767280305663	93.11670718999653	0.186149125895208	0.05593919140958035	5758	1.4666666666666666
0	-3	3	100.33614390106801	93.04609331084879	11	0.6861976435422403	107.44800449690838	90.99550309162451	65.8504777965149	0.153687789461252	0.13810989136052104	1779	3.0625
0	-3	0	83.38490389123301	118.93108298171589	13	0.6447115964600793	134.63853727144866	116.3314580403188	91.14908579465542	0.13521962175202715	0.11881736582361467	2133	3.3225806451612905
0	0	3	74.5521410579345	105.51586901763224	6	0.6923726298195527	119.59193954659949	102.38639798488666	84.60906801007556	0.15757184252150802	0.12277015571351199	1985	2.425
0	-3	-3	88.3093163538874	141.84785522788204	17	0.8410204610946244	160.97285522788204	139.1229892761394	105.7298927613941	0.15095873885763275	0.08805166593185183	2984	2.5609756097560976
0	0	0	68.42605542605543	137.89070189070188	12	0.7365777566067938	159.5910385910386	131.14193214193213	115.67858067858067	0.12075337196295521	0.07286493693136177	3861	1.8571428571428572
3	0	0	123.2997628170042	112.95110381317278	19	0.523050775958684	140.63656267104543	106.59843094325853	73.06750592957489	0.14352973590814835	0.05872902433040323	5481	1.2926829268292683
3	0	3	116.63733714081742	94.37390683562377	18	0.7336892994204285	111.10190969123684	92.17686953417812	61.71675887917187	0.1707980825475868	0.05919351888843878	5603	1.2790697674418605
0	0	-3	101.88789868667918	158.86186679174483	16	0.6860490289734376	187.2762664165103	153.3482645403377	112.60272045028142	0.17940650975206676	0.06747313961251658	4264	1.8245614035087718
3	0	-3	140.25932964754665	132.67778161713892	21	0.7077417406708513	172.3809606081548	123.19868693849344	77.33327574291638	0.19813882177212802	0.05717937553985209	5788	1.3253012048192772
-3	0	3	99.28698224852072	119.43047337278107	14	0.8010470033937817	137.5776627218935	117.02292899408285	84.23594674556213	0.13759927695533747	0.17286660823822023	1352	5.5
-3	0	0	59.213523131672595	140.4952550415184	13	0.6622873569833472	155.0711743772242	137.211743772242	119.19632265717675	0.11608440842060884	0.1517802049243261	1686	5.0
0	0	3	73.16675218060544	106.10107747562853	7	0.6745142204677426	120.02975885069266	102.9584402257568	85.61159569009749	0.1408774386183194	0.12531857720433956	1949	2.5945945945945947
-3	0	-3	71.60274480712167	164.92470326409494	18	0.7762646769844325	184.95623145400594	160.81342729970328	133.51743323442136	0.1677272068631095	0.09966871599329376	2696	3.264705882352941
