pc1	pc2	pc3	color_saturation	color_brightness	color_richness	color_evenness	rgb_red	rgb_green	rgb_blue	distinctive_from_wing_base	perimeter_over_area	proxy_area	box_aspect_ratio	aspect_ratio	2nd_movement_of_area
0	0	0	68.15460955863149	137.75868372943327	12	0.7371082379146298	159.3306346304518	131.05588926612694	115.6437712196396	0.1181550520751543	0.0724316726505708	3829	1.7894736842105263	6.181581685744017	0.5773153519579126
0	0	0	68.15460955863149	137.75868372943327	12	0.7371082379146298	159.3306346304518	131.05588926612694	115.6437712196396	0.1181550520751543	0.0724316726505708	3829	1.7894736842105263	6.474322580645161	0.5820581064089217
0	0	0	68.15460955863149	137.75868372943327	12	0.7371082379146298	159.3306346304518	131.05588926612694	115.6437712196396	0.1181550520751543	0.0724316726505708	3829	1.7894736842105263	6.284082056608673	0.5816064029654876
0	0	0	68.13748378728924	137.7870298313878	12	0.7355218975897666	159.37795071335927	131.07133592736704	115.6900129701686	0.1194178712866654	0.0726488351407036	3855	1.8070175438596487	6.181581685744017	0.5773153519579126
0	0	0	68.13748378728924	137.7870298313878	12	0.7355218975897666	159.37795071335927	131.07133592736704	115.6900129701686	0.1194178712866654	0.0726488351407036	3855	1.8070175438596487	6.474322580645161	0.5820581064089217
0	0	0	68.13748378728924	137.7870298313878	12	0.7355218975897666	159.37795071335927	131.07133592736704	115.6900129701686	0.1194178712866654	0.0726488351407036	3855	1.8070175438596487	6.284082056608673	0.5816064029654876
0	0	0	68.42605542605543	137.89070189070188	12	0.7365777566067938	159.5910385910386	131.14193214193213	115.67858067858069	0.1207533719629552	0.0728649369313617	3861	1.8571428571428568	6.181581685744017	0.5773153519579126
0	0	0	68.42605542605543	137.89070189070188	12	0.7365777566067938	159.5910385910386	131.14193214193213	115.67858067858069	0.1207533719629552	0.0728649369313617	3861	1.8571428571428568	6.474322580645161	0.5820581064089217
0	0	0	68.42605542605543	137.89070189070188	12	0.7365777566067938	159.5910385910386	131.14193214193213	115.67858067858069	0.1207533719629552	0.0728649369313617	3861	1.8571428571428568	6.284082056608673	0.5816064029654876
3	0	0	123.00227830354014	113.02996845425868	19	0.5279464180550191	140.6445846477392	106.68594461969856	73.267087276551	0.1407833848047326	0.0580216837755959	5706	1.2976190476190477	6.090178259349877	0.5598604647696147
3	0	0	123.00227830354014	113.02996845425868	19	0.5279464180550191	140.6445846477392	106.68594461969856	73.267087276551	0.1407833848047326	0.0580216837755959	5706	1.2976190476190477	5.875774134790528	0.5555212059732236
3	0	0	123.2997628170042	112.95110381317278	19	0.523050775958684	140.63656267104545	106.59843094325852	73.06750592957489	0.1435297359081483	0.0587290243304032	5481	1.2926829268292683	6.090178259349877	0.5598604647696147
3	0	0	123.2997628170042	112.95110381317278	19	0.523050775958684	140.63656267104545	106.59843094325852	73.06750592957489	0.1435297359081483	0.0587290243304032	5481	1.2926829268292683	5.875774134790528	0.5555212059732236
3	3	0	157.12940041793925	120.75759524192252	27	0.5938864630794956	167.04147243208487	108.20061083427102	64.01189519369876	0.1818207198899953	0.0546967115805536	6221	1.175824175824176	5.767143086558535	0.5562105192586408
0	-3	0	82.82631812140009	119.52148870181657	14	0.6351944777010627	135.13646433318564	116.95613646433318	91.80638015064244	0.1321452499436345	0.1162836948845134	2257	3.272727272727273	11.037395512538495	0.607175782971123
0	-3	0	82.82631812140009	119.52148870181657	14	0.6351944777010627	135.13646433318564	116.95613646433318	91.80638015064244	0.1321452499436345	0.1162836948845134	2257	3.272727272727273	10.470377019748653	0.6010667451025947
0	-3	0	83.38490389123301	118.93108298171587	13	0.6447115964600793	134.63853727144866	116.3314580403188	91.14908579465542	0.1352196217520271	0.1188173658236146	2133	3.3225806451612905	11.037395512538495	0.607175782971123
0	-3	0	83.38490389123301	118.93108298171587	13	0.6447115964600793	134.63853727144866	116.3314580403188	91.14908579465542	0.1352196217520271	0.1188173658236146	2133	3.3225806451612905	10.470377019748653	0.6010667451025947
3	-3	0	132.04261363636363	107.97107438016528	21	0.6284395134829983	131.68904958677686	104.00232438016528	66.19989669421487	0.1177359186402477	0.0756931850233808	3872	1.7833333333333334	6.918251928020566	0.6020204688370716
-3	3	0	44.2046403712297	190.1016241299304	16	0.7495809864979358	200.8737819025522	189.3122969837587	166.01299303944316	0.2118368572309846	0.1206015980640269	2155	2.525	10.189463955637708	0.5788611623555103
-3	0	0	65.07462686567165	139.81236673773986	8	0.7679708134342977	155.8727789623312	136.22103766879886	116.16915422885572	0.0962796298454948	0.1632885399857852	1407	5.105263157894737	13.951601423487544	0.575978510700787
-3	0	0	65.07462686567165	139.81236673773986	8	0.7679708134342977	155.8727789623312	136.22103766879886	116.16915422885572	0.0962796298454948	0.1632885399857852	1407	5.105263157894737	12.60972972972973	0.5876025512535843
-3	0	0	59.2135231316726	140.4952550415184	13	0.6622873569833472	155.0711743772242	137.211743772242	119.19632265717676	0.1160844084206088	0.1517802049243261	1686	5.0	13.951601423487544	0.575978510700787
-3	0	0	59.2135231316726	140.4952550415184	13	0.6622873569833472	155.0711743772242	137.211743772242	119.19632265717676	0.1160844084206088	0.1517802049243261	1686	5.0	12.60972972972973	0.5876025512535843
0	3	0	110.11878354203937	131.2066189624329	16	0.8103042763730135	163.38998211091234	122.57817531305903	91.22128801431128	0.22841060936794	0.0581237192146061	5590	1.4230769230769231	5.853519113969274	0.5801577960745825
0	3	0	110.11878354203937	131.2066189624329	16	0.8103042763730135	163.38998211091234	122.57817531305903	91.22128801431128	0.22841060936794	0.0581237192146061	5590	1.4230769230769231	5.83116413593637	0.5817958249780741
