wing	axis	character	lm_alpha	lm_beta	p	sig	r2	adj_r2	F
FW	pc1	color_saturation	89.00827847328867	10.652992002708988	3.8127402750369564e-08	***	0.5088691465279088	0.4974474987727439	44.55304150820065
HW	pc1	color_saturation	76.59437790687232	11.527133316392238	3.530164476665601e-06	***	0.5836606503325562	0.5670070763458585	35.047170703343426
FW	pc1	color_brightness	130.44343032510287	-5.2127499553325105	0.0008802835323547866	***	0.22913419308569538	0.21120708129699062	12.781433829740768
HW	pc1	color_brightness	132.2245803420085	-4.7636178218469345	0.039524156776759495	*	0.15877896072193776	0.12513011915081526	4.71870511162566
FW	pc1	color_richness	12.88888888888889	0.8333333333333336	0.006832142704990856	**	0.1581166549543218	0.13853797251139907	8.075959933222038
HW	pc1	color_richness	13.444444444444445	1.3611111111111114	0.0008758051627715775	***	0.3633474576271186	0.33788135593220336	14.267886855241258
FW	pc1	color_evenness	0.6747113266958633	-0.013865297012468749	0.012785349467081441	*	0.13568484083904309	0.11558448830041618	6.750371197634337
HW	pc1	color_evenness	0.6882675249439814	-0.007494690740160236	0.1971717300791704		0.06561226865737446	0.02823675940366944	1.755488285443772
FW	pc1	rgb_red	152.37066895926907	-2.7943716108793266	0.1397363363698081		0.050014188040803154	0.027921494739426483	2.2638339001287213
HW	pc1	rgb_red	150.39483936904003	-1.5997708238855666	0.5376919323730434		0.015380303773179005	-0.024004484075893832	0.3905138154385482
FW	pc1	rgb_green	125.37687319030536	-5.864297324837888	0.00011089974806781066	***	0.2963106233858942	0.2799457541623103	18.10650725878535
HW	pc1	rgb_green	128.03103318268998	-5.712389423960717	0.013820396769637842	*	0.21903908748380718	0.18780065098315946	7.01184540651596
FW	pc1	rgb_blue	98.99385483305254	-8.206035535043826	1.02524459986152e-07	***	0.4862449967214544	0.4742972059475347	40.697481728827924
HW	pc1	rgb_blue	106.14783138929471	-8.169478092946939	0.00036190532466010234	***	0.4046411057098174	0.3808267499382101	16.99147814832978
FW	pc1	distinctive_from_wing_base	7.189841877802097	0.0186901464134718	0.9046587149629707		0.0003374927129109473	-0.022910472572835308	0.014517086065932005
HW	pc1	distinctive_from_wing_base	8.498156716171428	0.26909882050885553	0.7124401534812725		0.005528429966518922	-0.03425043283482032	0.13897908530288225
FW	pc1	perimeter_over_area	0.09149702829948192	-0.014384164999479462	2.7584402044318884e-08	***	0.5160622906148274	0.5048079252802885	45.85441073527861
HW	pc1	perimeter_over_area	0.0873752306203628	-0.01086056846690152	0.0014519611571850851	**	0.3386319150841365	0.31217719168750196	12.800433026913293
FW	pc1	box_aspect_ratio	2.411066443450742	-0.5385695388138592	2.684341864504939e-10	***	0.6084766284726466	0.599371433785964	66.82741549311527
HW	pc1	box_aspect_ratio	1.922499242412773	-0.3128587781529211	8.387398987210589e-05	***	0.4677169879008882	0.44642566741692374	21.967495546044173
FW	pc1	aspect_ratio	8.13101755507959	-1.0761614909656931	1.4519056327661772e-07	***	0.478052137215103	0.4659138148247565	39.38370738902897
FW	pc1	2nd_movement_of_area	0.5797393667408843	-0.0025362662178333444	0.027935456910364788	*	0.10745172584180629	0.0866947892334762	5.176665895808731
FW	pc2	color_saturation	89.00827847328867	1.809918316217755	0.4277410912570092		0.014688615681910044	-0.008225602558045535	0.6410262627375025
HW	pc2	color_saturation	76.59437790687232	0.6349240367348556	0.8349150770481424		0.0017707665937105599	-0.038158402742541016	0.044347694258258116
FW	pc2	color_brightness	130.44343032510287	3.3411799771826844	0.040364240977179756	*	0.0941360251396508	0.07306942107313105	4.468495484246433
HW	pc2	color_brightness	132.2245803420085	-0.4649975912249801	0.8472558741689891		0.0015129359358109218	-0.038426546626756646	0.03788070948192137
FW	pc2	color_richness	12.88888888888889	0.5833333333333336	0.06410582924300265	.	0.0774771609276177	0.05602314141430648	3.6113121310226637
HW	pc2	color_richness	13.444444444444445	0.5	0.26700247745741545		0.04903147699757848	0.010992736077481621	1.2889879057924882
FW	pc2	color_evenness	0.6747113266958633	0.0019091008299799714	0.7407440716524373		0.0025723538424387016	-0.020623637928667376	0.11089648021185208
HW	pc2	color_evenness	0.6882675249439814	0.007691406503339885	0.18526082986182196		0.06910176670239043	0.031865837370486046	1.8557819810658727
FW	pc2	rgb_red	152.37066895926907	5.320856890221651	0.003540147758298156	**	0.18133768128989813	0.1622990227152446	9.524708927304143
HW	pc2	rgb_red	150.39483936904003	1.2414017578072893	0.6330024006976082		0.009261345395571108	-0.030368200788606046	0.23369799271809036
FW	pc2	rgb_green	125.37687319030536	2.6126083163708453	0.108471914541994		0.05881171845321964	0.036923618882364284	2.686926668203262
HW	pc2	rgb_green	128.03103318268998	-1.4192686995536323	0.5635431281132613		0.01352120068155327	-0.025937951291184598	0.34266323541101196
FW	pc2	rgb_blue	98.99385483305254	1.8967800881824028	0.29017513482271573		0.025978993596123323	0.0033273422844052603	1.146891819877335
HW	pc2	rgb_blue	106.14783138929471	-0.033650404400336474	0.9896512517470762		6.865338406547572e-06	-0.03999286004805719	0.00017163463847909717
FW	pc2	distinctive_from_wing_base	7.189841877802097	0.5024403038279933	0.0005655222405640773	***	0.24389782761715129	0.22631405616638736	13.87062089040944
HW	pc2	distinctive_from_wing_base	8.498156716171428	0.39860162492979645	0.5844676282263823		0.012129875786005995	-0.027384929182553766	0.30697040756387767
FW	pc2	perimeter_over_area	0.09149702829948192	-0.008228596998309847	0.005043462710902689	**	0.16888240278081623	0.1495540865664166	8.737564147206916
