wing	axis	character	lm_alpha	lm_beta	p	sig	r2	adj_r2	F
hw	pc1	color_saturation	76.59437790687232	11.527133316392238	3.5301644766655654e-06	***	0.5836606503325561	0.5670070763458583	35.047170703343475
hw	pc1	color_brightness	132.2245803420085	-4.7636178218469345	0.039524156776759495	*	0.15877896072193776	0.12513011915081526	4.71870511162566
hw	pc1	color_richness	13.444444444444445	1.3611111111111114	0.0008758051627715775	***	0.3633474576271186	0.33788135593220336	14.267886855241258
hw	pc1	color_evenness	0.6882675249439814	-0.007494690740160236	0.1971717300791704		0.06561226865737446	0.02823675940366944	1.755488285443772
hw	pc1	rgb_red	150.39483936904003	-1.5997708238855664	0.5376919323730434		0.015380303773179227	-0.024004484075893603	0.390513815438548
hw	pc1	rgb_green	128.03103318268995	-5.712389423960718	0.013820396769637842	*	0.2190390874838073	0.1878006509831596	7.011845406515958
hw	pc1	rgb_blue	106.1478313892947	-8.169478092946939	0.0003619053246601014	***	0.40464110570981704	0.3808267499382097	16.991478148329783
hw	pc1	distinctive_from_wing_base	8.498156716171428	0.26909882050885553	0.7124401534812725		0.005528429966519144	-0.03425043283482009	0.13897908530288225
hw	pc1	perimeter_over_area	0.08737523062036283	-0.010860568466901518	0.0014519611571850916	**	0.33863191508413637	0.3121771916875018	12.80043302691328
hw	pc1	box_aspect_ratio	1.922499242412773	-0.3128587781529213	8.387398987210589e-05	***	0.4677169879008882	0.44642566741692374	21.967495546044173
hw	pc2	color_saturation	76.59437790687232	0.6349240367348556	0.8349150770481424		0.0017707665937103378	-0.03815840274254125	0.04434769425825808
hw	pc2	color_brightness	132.2245803420085	-0.46499759122498063	0.8472558741689891		0.0015129359358110328	-0.03842654662675653	0.03788070948192144
hw	pc2	color_richness	13.444444444444445	0.5	0.26700247745741545		0.04903147699757848	0.010992736077481621	1.2889879057924882
hw	pc2	color_evenness	0.6882675249439814	0.007691406503339885	0.18526082986182196		0.06910176670239043	0.031865837370486046	1.8557819810658727
hw	pc2	rgb_red	150.39483936904003	1.2414017578072898	0.6330024006976082		0.009261345395571108	-0.030368200788606046	0.23369799271809058
hw	pc2	rgb_green	128.03103318268995	-1.419268699553631	0.5635431281132646		0.01352120068155327	-0.025937951291184598	0.3426632354110114
hw	pc2	rgb_blue	106.1478313892947	-0.03365040440033681	0.9896512517470762		6.865338405881438e-06	-0.03999286004805788	0.00017163463847910256
hw	pc2	distinctive_from_wing_base	8.498156716171428	0.39860162492979645	0.5844676282263823		0.012129875786005884	-0.027384929182553884	0.30697040756387767
hw	pc2	perimeter_over_area	0.08737523062036283	-0.007342543892400091	0.04233092200287169	*	0.15478036759815128	0.12097158230207733	4.578110873924982
hw	pc2	box_aspect_ratio	1.922499242412773	-0.21470014082767575	0.013521548166890919	*	0.2202678501507972	0.18907856415682908	7.062292166399596
hw	pc3	color_saturation	76.59437790687232	-2.0164620811625795	0.5063286278297248		0.017860676402753684	-0.02142489654113617	0.4546370350322615
hw	pc3	color_brightness	132.2245803420085	-9.351480528639199	1.436793884982292e-06	***	0.611899192438028	0.5963751601355491	39.41625349106752
hw	pc3	color_richness	13.444444444444445	-0.8055555555555557	0.06775340319443075	.	0.127269975786925	0.092360774818402	3.6457430206346433
hw	pc3	color_evenness	0.6882675249439814	-0.004481745578204095	0.4455984439042181		0.02346237749619584	-0.015599127403956324	0.6006521652498948
hw	pc3	rgb_red	150.39483936904003	-11.46756232864121	5.828486224286107e-10	***	0.7902992827689314	0.7819112540796886	94.21752262035695
hw	pc3	rgb_green	128.03103318268995	-8.836296668777575	1.9682339301834807e-05	***	0.5241149954469104	0.5050795952647869	27.533699866163776
hw	pc3	rgb_blue	106.1478313892947	-6.453915619026215	0.007553933766378108	**	0.25253869949995544	0.22264024747995365	8.446547645042282
hw	pc3	distinctive_from_wing_base	8.498156716171428	0.3434605447750286	0.6377506060741989		0.00900599979694372	-0.03063376021117853	0.2271961231626647
hw	pc3	perimeter_over_area	0.08737523062036283	0.008630094737160008	0.015160912218194326	*	0.21382274348859132	0.18237565322813498	6.799444454721655
hw	pc3	box_aspect_ratio	1.922499242412773	0.11150979907804144	0.2204819349648163		0.059417246369825816	0.021793936224618844	1.5792668465508615
