pc1	pc2	pc3	color_saturation	color_brightness	color_richness	color_evenness	rgb_red	rgb_green	rgb_blue	distinctive_from_wing_base	perimeter_over_area	box_aspect_ratio	aspect_ratio	2nd_movement_of_area
-3	-3	0	63.65847953216375	122.88245614035088	13	0.704504778182081	133.60994152046783	121.61929824561405	101.3233918128655	6.754080738144053	0.1474297151034738	5.095238095238095	13.626168224299066	0.580528491993419
-3	0	0	65.07462686567165	139.81236673773986	10	0.6616473238426531	155.8727789623312	136.22103766879886	116.16915422885572	3.964248615459401	0.1632885399857852	5.105263157894737	13.951601423487544	0.575978510700787
-3	0	0	65.07462686567165	139.81236673773986	10	0.6616473238426531	155.8727789623312	136.22103766879886	116.16915422885572	3.964248615459401	0.1632885399857852	5.105263157894737	12.60972972972973	0.5876025512535843
-3	0	0	59.2135231316726	140.4952550415184	13	0.6056896029392466	155.0711743772242	137.211743772242	119.19632265717676	4.789099156396624	0.1517802049243261	5.0	13.951601423487544	0.575978510700787
-3	0	0	59.2135231316726	140.4952550415184	13	0.6056896029392466	155.0711743772242	137.211743772242	119.19632265717676	4.789099156396624	0.1517802049243261	5.0	12.60972972972973	0.5876025512535843
-3	3	0	44.2046403712297	190.1016241299304	12	0.7715112303363676	200.8737819025522	189.3122969837587	166.01299303944316	9.399166124385154	0.1206015980640269	2.525	10.189463955637708	0.5788611623555103
0	-3	0	82.82631812140009	119.52148870181657	10	0.7255587394129087	135.13646433318564	116.95613646433318	91.80638015064244	7.575290784199276	0.1162836948845134	3.272727272727273	11.037395512538495	0.607175782971123
0	-3	0	82.82631812140009	119.52148870181657	10	0.7255587394129087	135.13646433318564	116.95613646433318	91.80638015064244	7.575290784199276	0.1162836948845134	3.272727272727273	10.470377019748653	0.6010667451025947
0	-3	0	83.38490389123301	118.93108298171587	10	0.723524456750261	134.63853727144866	116.3314580403188	91.14908579465542	7.105731517651618	0.1188173658236146	3.3225806451612905	11.037395512538495	0.607175782971123
0	-3	0	83.38490389123301	118.93108298171587	10	0.723524456750261	134.63853727144866	116.3314580403188	91.14908579465542	7.105731517651618	0.1188173658236146	3.3225806451612905	10.470377019748653	0.6010667451025947
0	0	0	68.15460955863149	137.75868372943327	11	0.6793961191683566	159.3306346304518	131.05588926612694	115.6437712196396	7.349384939490806	0.0724316726505708	1.7894736842105263	6.181581685744017	0.5773153519579126
0	0	0	68.15460955863149	137.75868372943327	11	0.6793961191683566	159.3306346304518	131.05588926612694	115.6437712196396	7.349384939490806	0.0724316726505708	1.7894736842105263	6.474322580645161	0.5820581064089217
0	0	0	68.15460955863149	137.75868372943327	11	0.6793961191683566	159.3306346304518	131.05588926612694	115.6437712196396	7.349384939490806	0.0724316726505708	1.7894736842105263	6.284082056608673	0.5816064029654876
0	0	0	68.42605542605543	137.89070189070188	11	0.6810306784573037	159.5910385910386	131.14193214193213	115.67858067858069	8.7051652466948	0.0728649369313617	1.8571428571428568	6.181581685744017	0.5773153519579126
0	0	0	68.42605542605543	137.89070189070188	11	0.6810306784573037	159.5910385910386	131.14193214193213	115.67858067858069	8.7051652466948	0.0728649369313617	1.8571428571428568	6.474322580645161	0.5820581064089217
0	0	0	68.42605542605543	137.89070189070188	11	0.6810306784573037	159.5910385910386	131.14193214193213	115.67858067858069	8.7051652466948	0.0728649369313617	1.8571428571428568	6.284082056608673	0.5816064029654876
0	0	0	68.13748378728924	137.7870298313878	11	0.6780452799443577	159.37795071335927	131.07133592736704	115.6900129701686	7.285002518809823	0.0726488351407036	1.8070175438596487	6.181581685744017	0.5773153519579126
0	0	0	68.13748378728924	137.7870298313878	11	0.6780452799443577	159.37795071335927	131.07133592736704	115.6900129701686	7.285002518809823	0.0726488351407036	1.8070175438596487	6.474322580645161	0.5820581064089217
0	0	0	68.13748378728924	137.7870298313878	11	0.6780452799443577	159.37795071335927	131.07133592736704	115.6900129701686	7.285002518809823	0.0726488351407036	1.8070175438596487	6.284082056608673	0.5816064029654876
0	3	0	110.11878354203937	131.2066189624329	15	0.7825604787863153	163.38998211091234	122.57817531305903	91.22128801431128	10.86957972575668	0.0581237192146061	1.4230769230769231	5.853519113969274	0.5801577960745825
0	3	0	110.11878354203937	131.2066189624329	15	0.7825604787863153	163.38998211091234	122.57817531305903	91.22128801431128	10.86957972575668	0.0581237192146061	1.4230769230769231	5.83116413593637	0.5817958249780741
0	3	0	110.4963768115942	131.14673913043478	15	0.7762283944940337	163.42264492753625	122.50652173913043	90.9929347826087	10.86957972575668	0.057767540941442	1.48	5.853519113969274	0.5801577960745825
0	3	0	110.4963768115942	131.14673913043478	15	0.7762283944940337	163.42264492753625	122.50652173913043	90.9929347826087	10.86957972575668	0.057767540941442	1.48	5.83116413593637	0.5817958249780741
3	-3	0	132.04261363636363	107.97107438016528	20	0.6303551839823751	131.68904958677686	104.00232438016528	66.19989669421487	4.174598111561126	0.0756931850233808	1.7833333333333334	6.918251928020566	0.6020204688370716
3	0	0	123.00227830354014	113.02996845425868	16	0.5528331994306884	140.6445846477392	106.68594461969856	73.267087276551	5.834504524113055	0.0580216837755959	1.2976190476190477	6.090178259349877	0.5598604647696147
3	0	0	123.00227830354014	113.02996845425868	16	0.5528331994306884	140.6445846477392	106.68594461969856	73.267087276551	5.834504524113055	0.0580216837755959	1.2976190476190477	5.875774134790528	0.5555212059732236
3	0	0	123.2997628170042	112.95110381317278	16	0.5489699597171709	140.63656267104545	106.59843094325852	73.06750592957489	7.105640594440508	0.0587290243304032	1.2926829268292683	6.090178259349877	0.5598604647696147
