family	color_saturation	color_brightness	color_richness	color_evenness	rgb_red	rgb_green	rgb_blue	distinctive_from_wing_base	perimeter_over_area	Goldstein2017	6groups	fam_mean_PC1	fam_mean_PC2	fam_mean_PC3
Adelidae	88.32311415893506	144.11859620814846	9	0.5273303176862416	159.69544171036708	143.87051230334814	104.53085921742638	5.828054749983658	0.10517870341935404	294	1	-0.7069351088675949	-0.39624563742285207	0.31143863419447804
Alucitidae	58.7705947543406	157.29479128186185	6	0.7627293609729228	166.95345400812707	157.85223494643517	128.7462135205024	10.987481778891645	0.0831624029514274	216	1	-0.0046824063269279995	-0.323750144346375	-0.225114640679359
Autostichidae	42.08737490377213	159.3437259430331	6	0.5264678265047252	168.79137798306388	158.0654349499615	140.71709006928407	6.473822443683904	0.09332404079265078	650	0	-1.90403483593834	0.859636544595593	-1.0143157863322
Bombycidae	89.83187969924812	149.94857142857143	10	0.7282121529237587	181.0387969924812	140.50195488721803	116.54135338345864	6.220849124402585	0.07372872676215754	185	4	1.3925230503780401	0.452933516013628	0.129081906330294
Brahmaeidae	85.3312046444122	112.9233671988389	12	0.7448066067308989	130.71698113207546	108.76952104499274	87.22293178519594	3.703615758229897	0.07058495666465109	65	4	1.85206587162631	0.333802288548058	-0.6762572620963541
Bucculatricidae	65.78729994837377	141.0573051109964	6	0.8083816705369039	152.00309757356737	140.93443469282394	112.96850800206505	10.961184700512204	0.11047971893698622	297	0	-1.5663479210402098	0.128323057670757	0.34489079995455496
Choreutidae	91.03257686676427	116.57833089311859	9	0.675435083627372	135.84809663250365	112.32503660322108	87.77379209370424	3.9126363304482745	0.08751578729868842	406	3	0.31102665671054497	-0.818665659550087	-0.850522911356273
Cosmopterigidae	40.53109166282819	127.93597420543529	5	0.5013447347669503	136.08014739751266	126.43804698295716	114.36296637494242	5.532483160903211	0.10093405779616221	1792	0	-2.05955649809108	0.707302640879958	0.28664847858852005
Cossidae	43.55065257924176	162.25295214418892	7	0.666879027370044	172.47669359850838	160.72094468614046	143.24673710379116	6.333419352004876	0.12019587687284398	971	2	0.568098355610413	-1.13415667336971	0.6120383783371149
Crambidae	54.643096616885096	173.40505943309967	3	0.6802561339066334	189.17372752209693	170.2599817128924	148.61353245961598	6.369713670208313	0.07638208048866595	9666	1	0.230108607020417	-0.074236759676658	-0.772095649834221
Depressariidae	56.46525885558583	156.1440735694823	6	0.5538216782692985	169.30381471389646	154.16519073569484	131.80177111716623	6.242760317325934	0.08519731598521106	2300	1	-0.8721996327930601	-0.124984979548474	-1.10557308390202
Drepanidae	46.1376591873863	167.86385688295937	5	0.7623719011689506	178.74984839296545	166.43875075803518	146.2392359005458	17.424368974645734	0.07311836994069107	660	4	0.957206594157833	0.216382416498316	-0.285273199388932
Endromidae	121.03412866203564	109.76985804892782	11	0.7301132418534554	138.9743279975838	101.96013289036544	72.94744790093627	24.142259414225943	0.07424482001021038	59	4	1.90748368493563	0.9264273429513841	0.18505724080162397
Erebidae	71.7701804368471	151.35359290914846	8	0.7773672350370852	169.781259892371	147.71320037986703	121.93383982272871	5.473017461282094	0.07658336224620754	24569	2	0.915144594259972	-0.040021176873624	-0.525320435490084
Eriocraniidae	48.44689378757515	124.77314629258517	6	0.6002579902660856	135.2056112224449	122.35511022044088	109.75751503006012	5.180111379345438	0.09173050259897433	30	0	-1.7143531359452702	0.7837231629287399	0.515384567138348
Eupterotidae	99.1400138856746	171.8498032862763	6	0.5451371126471775	199.45244156445267	167.54408701689422	121.46841009025688	3.389419170271601	0.06410318921388918	339	4	1.60474556116772	0.604990045564208	-0.177329938707936
Euteliidae	69.09297520661157	125.41322314049587	10	0.7461181645074219	140.62851239669422	122.06652892561983	102.31652892561983	16.298375040623988	0.09423190519444503	520	2	0.9062598463443929	-0.588872395661155	-0.30733267440067796
Gelechiidae	47.10534069981584	157.31270718232045	5	0.722141112673929	170.72044198895028	154.01620626151012	139.12744014732965	4.600670514838787	0.08841547770593322	4700	1	-1.5263138245543102	0.08827817550162599	-0.321997444998371
Geometridae	61.6180615473109	169.6508484325568	7	0.5216442304430251	185.10957722174288	167.49525452976704	140.2602818521714	9.742535960352955	0.07415675412484603	23002	4	1.0240197608432902	0.463480733355188	-0.185115824856262
Gracillariidae	40.183609141055946	142.1639085894405	5	0.6235128224318678	150.69582348305752	140.69109535066983	127.01576044129236	4.2426258443365805	0.13414914600041156	1855	0	-1.6476727676171499	0.31736327739239	0.611906457895179
Hepialidae	73.7428219852338	140.57793273174732	8	0.7005579127391685	160.71369975389663	135.33141919606234	114.37530762920427	8.368145915213493	0.09404806518391735	652	2	0.8491947555876629	-0.7783738698667281	0.085900703349909
Hesperiidae	88.57549334557136	93.7634235888022	12	0.5972002635751605	110.51698026617714	89.56539697108765	71.89582377237265	5.879220466757559	0.06421952445715556	4113	3	1.62743766154448	-0.00870429517149	-0.06952028107248899
Lacturidae	93.36708860759494	134.0831223628692	9	0.7092271552442542	156.76244725738397	129.2957805907173	98.80759493670887	9.763707443569142	0.10038855351257997	120	0	-1.67556034483917	0.9794525708748759	-0.924543119153917
