family	color_saturation	color_brightness	color_richness	color_evenness	rgb_red	rgb_green	rgb_blue	distinctive_from_wing_base	perimeter_over_area	Goldstein2017	6groups	fam_mean_PC1	fam_mean_PC2	fam_mean_PC3
Adelidae	127.39055358049771	120.82021330624683	12	0.47808079168822937	143.332656170645	118.92889791772474	71.46114779075673	5.215516633729021	0.1279013354185126	294	1	-0.7069351088675949	-0.39624563742285207	0.31143863419447804
Alucitidae	66.37074366657586	149.26205393625716	13	0.7642865342763475	161.87278670661945	148.44347589212748	120.09425224734404	10.762732207154755	0.07740674287500515	216	1	-0.0046824063269279995	-0.323750144346375	-0.225114640679359
Autostichidae	86.86731898238747	159.77221135029353	12	0.6428420337348946	181.49393346379648	156.426614481409	119.5197651663405	8.416718481932389	0.1052479225486291	650	0	-1.90403483593834	0.859636544595593	-1.0143157863322
Bombycidae	67.03243480166557	144.73767258382642	10	0.7257740458542858	167.9587990357221	136.99035722112646	123.28314705237783	5.15893179765131	0.0649329829866187	185	4	1.3925230503780401	0.452933516013628	0.129081906330294
Brahmaeidae	86.61175762439808	111.93659711075442	13	0.7815039757812386	130.55236757624397	107.40810593900481	86.08527287319423	5.174392040894776	0.06211031399484568	65	4	1.85206587162631	0.333802288548058	-0.6762572620963541
Bucculatricidae	76.71691176470588	162.9659926470588	15	0.8981506691708466	178.06112132352942	162.64292279411765	124.95726102941177	5.235085270773395	0.1146560838257057	297	0	-1.5663479210402098	0.128323057670757	0.34489079995455496
Choreutidae	89.14649527043414	101.86732961435848	15	0.6432425896164286	119.173417414504	97.74824157167112	77.44482173174873	5.532009428687655	0.0687150212321158	406	3	0.31102665671054497	-0.818665659550087	-0.850522911356273
Cosmopterigidae	86.99	121.44	13	0.7461381580242906	140.81055555555557	117.11944444444444	92.67111111111112	5.75261980674395	0.14496910141515196	1792	0	-2.05955649809108	0.707302640879958	0.28664847858852005
Cossidae	44.00174927113703	149.47084548104957	9	0.7043141108522407	160.1256559766764	147.33206997084548	132.7201166180758	4.030276974431049	0.08140771868436233	971	2	0.568098355610413	-1.13415667336971	0.6120383783371149
Crambidae	69.30858600170019	162.59280249362425	12	0.7144352776549107	182.41853216208557	158.28960045338624	132.78889203740437	7.926740836306778	0.07874250010020781	9666	1	0.230108607020417	-0.074236759676658	-0.772095649834221
Depressariidae	74.26538222498446	138.23399627097575	9	0.7049195891647749	154.76289620882537	135.39123679303916	109.78993163455563	6.6036549491100764	0.08402701541733389	2300	1	-0.8721996327930601	-0.124984979548474	-1.10557308390202
Drepanidae	50.20771094065402	149.60335082761404	9	0.7156645516054764	160.84436818732337	147.85425918449738	128.9616471538151	3.8927933043509313	0.06134227339733006	660	4	0.957206594157833	0.216382416498316	-0.285273199388932
Endromidae	111.73376205787781	98.11425509110397	10	0.5467367742033792	123.2042872454448	90.9016077170418	69.20943193997856	7.819097652164502	0.06720938365857157	59	4	1.90748368493563	0.9264273429513841	0.18505724080162397
Erebidae	76.3697166744078	128.20227589410126	16	0.6402577964462755	150.35810496980957	121.45401764979098	104.73850441244775	6.30889623321812	0.06872596530722568	24569	2	0.915144594259972	-0.040021176873624	-0.525320435490084
Eriocraniidae	71.4721269296741	110.79116638078902	10	0.7633634591049994	126.13593481989709	106.91209262435677	90.7204116638079	8.713804917143825	0.1115681258407799	30	0	-1.7143531359452702	0.7837231629287399	0.515384567138348
Eupterotidae	89.36275835425923	147.45644195480008	19	0.6638595600870494	169.73807224261154	143.4120146803168	109.68611164767239	4.265169347000009	0.05997877636088134	339	4	1.60474556116772	0.604990045564208	-0.177329938707936
Euteliidae	78.32130177514793	109.90621301775148	12	0.6369267074729899	127.8923076923077	104.84852071005918	88.65236686390533	6.174445353138034	0.08138572314558842	520	2	0.9062598463443929	-0.588872395661155	-0.30733267440067796
